access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,engine,n,ppn,tx,timestamp,run_id,filename,bw_MiB_s
write,155898.5156,78088.5397,0.0293,131072.0,2048.0,0.0088,1.8883,0.0309,1.8917,48,4,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,155898.5156
read,93162.4875,46633.2284,0.0492,131072.0,2048.0,0.0042,3.162,0.035,3.1656,48,4,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,93162.4875
write,157433.4974,78859.2519,0.0289,131072.0,2048.0,0.009,1.8699,0.0258,1.8732,48,5,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,157433.4974
read,93340.08,46722.2691,0.049,131072.0,2048.0,0.0043,3.156,0.0294,3.1595,48,5,IL,1,48,2M,1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132,ior_il_n-1_ppn-48_tx-2m_1782538132.csv,93340.08
write,89152.9841,44634.8364,0.0252,131072.0,2048.0,1.4973,3.3036,1.692,3.3079,48,0,IL,1,48,2M,1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191.csv,89152.9841
read,92236.3825,46167.4893,0.0492,131072.0,2048.0,0.0044,3.1939,0.0586,3.1974,48,0,IL,1,48,2M,1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191.csv,92236.3825
write,157529.9766,78903.2672,0.0289,131072.0,2048.0,0.0087,1.8688,0.027,1.8721,48,1,IL,1,48,2M,1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191.csv,157529.9766
read,93259.3548,46682.5384,0.0491,131072.0,2048.0,0.0044,3.1587,0.0378,3.1623,48,1,IL,1,48,2M,1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191,ior_il_n-1_ppn-48_tx-2m_1782538191.csv,93259.3548
write,959.2563,479.6517,4.7265,131072.0,2048.0,0.247,307.423,4.9256,307.4382,48,0,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,959.2563
read,3283.6642,1642.3427,1.3977,131072.0,2048.0,0.3607,89.7839,2.2957,89.8119,48,0,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,3283.6642
write,841.3606,420.6964,5.4472,131072.0,2048.0,0.2397,350.5046,7.0077,350.5179,48,1,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,841.3606
read,3324.7407,1665.1181,1.3801,131072.0,2048.0,0.3822,88.5559,0.9358,88.7023,48,1,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,3324.7407
write,832.2502,416.1404,5.4674,131072.0,2048.0,0.24,354.3419,6.7708,354.355,48,2,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,832.2502
read,3311.2155,1659.0699,1.3858,131072.0,2048.0,0.3815,88.8787,1.4221,89.0646,48,2,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,3311.2155
write,834.847,417.4389,5.5046,131072.0,2048.0,0.2417,353.2397,6.1866,353.2527,48,3,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,834.847
read,3360.6174,1682.5475,1.3657,131072.0,2048.0,0.3686,87.6385,1.7095,87.7553,48,3,POSIX,1,48,2M,1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932,ior_posix_n-1_ppn-48_tx-2m_1782526932.csv,3360.6174
write,868.1256,434.0807,5.1505,131072.0,2048.0,0.2531,339.6972,12.0539,339.7112,48,0,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,868.1256
read,2837.3035,1419.2125,1.6029,131072.0,2048.0,0.3348,103.8999,1.3537,103.9409,48,0,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,2837.3035
write,749.2601,374.6427,6.1354,131072.0,2048.0,0.6326,393.591,9.4659,393.6043,48,1,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,749.2601
read,2841.017,1422.3904,1.6152,131072.0,2048.0,0.4107,103.6677,2.4159,103.8051,48,1,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,2841.017
write,808.3911,404.2099,5.6072,131072.0,2048.0,0.2383,364.8006,9.1366,364.8135,48,2,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,808.3911
read,2808.2644,1406.8566,1.6344,131072.0,2048.0,0.4111,104.8124,1.8055,105.0158,48,2,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,2808.2644
write,792.3158,396.1701,5.6798,131072.0,2048.0,0.2338,372.2038,8.7612,372.2152,48,3,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,792.3158
read,2799.1195,1399.9738,1.6413,131072.0,2048.0,0.3147,105.3277,1.3834,105.3588,48,3,POSIX,1,48,2M,1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361,ior_posix_n-1_ppn-48_tx-2m_1782531361.csv,2799.1195
write,928.5145,464.2817,4.8166,131072.0,2048.0,0.2576,317.6003,9.3401,317.617,48,0,POSIX,1,48,2M,1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073.csv,928.5145
read,3213.8342,1608.007,1.4134,131072.0,2048.0,0.3712,91.7011,2.4568,91.7633,48,0,POSIX,1,48,2M,1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073.csv,3213.8342
write,833.855,416.9428,5.4929,131072.0,2048.0,0.2515,353.66,8.0548,353.673,48,1,POSIX,1,48,2M,1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073.csv,833.855
read,3113.7388,1561.027,1.4735,131072.0,2048.0,0.4119,94.4609,0.9266,94.7131,48,1,POSIX,1,48,2M,1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073,ior_posix_n-1_ppn-48_tx-2m_1782536073.csv,3113.7388
