access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,n,ppn,tx,filename,bw_GiB_s
write,1627877.5378,102270.4096,0.0736,131072.0,16384.0,0.0065,0.6408,0.0594,0.6441,256,5,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1589.7241580078125
read,1463318.6075,91877.4375,0.0846,131072.0,16384.0,0.0064,0.7133,0.0446,0.7166,256,5,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1429.0220776367187
write,1605691.386,100896.3602,0.0745,131072.0,16384.0,0.0068,0.6495,0.056,0.653,256,6,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1568.057994140625
read,1442813.1446,90603.0604,0.0838,131072.0,16384.0,0.0067,0.7233,0.0557,0.7268,256,6,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1408.9972115234375
write,1558569.6009,97951.34,0.0781,131072.0,16384.0,0.0072,0.6691,0.059,0.6728,256,7,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1522.0406258789062
read,1452675.5838,91252.1091,0.0855,131072.0,16384.0,0.0071,0.7182,0.0455,0.7218,256,7,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1418.6284998046874
write,1597095.5215,100331.9019,0.0777,131072.0,16384.0,0.0065,0.6532,0.0557,0.6566,256,8,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1559.6635952148438
read,1470981.5374,92363.0259,0.0838,131072.0,16384.0,0.0064,0.7095,0.0539,0.7128,256,8,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1436.5054076171875
write,1634421.3794,102681.7085,0.0748,131072.0,16384.0,0.0064,0.6382,0.0535,0.6416,256,9,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1596.1146283203125
read,1464964.1478,91974.3987,0.0839,131072.0,16384.0,0.0063,0.7125,0.0441,0.7158,256,9,16,16,16M,ior_rw_n-16_ppn-16_tx-16M_1782550380.csv,1430.6290505859374
write,762163.4245,382329.4476,0.0211,131072.0,2048.0,0.0078,1.3713,0.0558,1.3758,256,0,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,744.3002192382812
read,394046.8652,197272.5767,0.041,131072.0,2048.0,0.0066,2.6577,0.0396,2.661,256,0,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,384.811391796875
write,773637.1098,387776.9306,0.0208,131072.0,2048.0,0.0064,1.352,0.0358,1.3554,256,1,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,755.5049900390625
read,395635.8989,198058.7258,0.0408,131072.0,2048.0,0.0064,2.6471,0.0379,2.6504,256,1,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,386.3631825195312
write,707110.3082,354341.7451,0.0226,131072.0,2048.0,0.0064,1.4796,0.0607,1.4829,256,2,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,690.5374103515625
read,390521.3628,195498.3279,0.0415,131072.0,2048.0,0.0065,2.6818,0.0417,2.6851,256,2,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,381.368518359375
write,770474.65,386186.5153,0.0209,131072.0,2048.0,0.0065,1.3576,0.0291,1.3609,256,3,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,752.416650390625
read,392568.6339,196523.4446,0.0413,131072.0,2048.0,0.0065,2.6678,0.0388,2.6711,256,3,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,383.36780654296876
write,786649.2319,394316.886,0.0207,131072.0,2048.0,0.0065,1.3296,0.0252,1.333,256,4,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,768.2121405273438
read,392643.0392,196564.7088,0.0414,131072.0,2048.0,0.0076,2.6673,0.033,2.6706,256,4,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,383.44046796875
write,786992.4147,394447.6662,0.0205,131072.0,2048.0,0.0062,1.3292,0.0245,1.3324,256,5,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,768.5472799804687
read,390684.6166,195571.9089,0.0413,131072.0,2048.0,0.0062,2.6808,0.0349,2.6839,256,5,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,381.5279458984375
write,788475.9862,395282.1277,0.0204,131072.0,2048.0,0.0068,1.3264,0.0234,1.3299,256,6,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,769.9960802734375
read,392740.8288,196623.3059,0.0413,131072.0,2048.0,0.0068,2.6665,0.0339,2.6699,256,6,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,383.535965625
write,786700.7324,394338.8064,0.0204,131072.0,2048.0,0.0065,1.3295,0.0255,1.3329,256,7,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,768.262433984375
read,393588.6106,197036.6905,0.0412,131072.0,2048.0,0.0064,2.6609,0.0379,2.6641,256,7,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,384.3638775390625
write,770570.3599,386254.2804,0.0209,131072.0,2048.0,0.0066,1.3574,0.027,1.3608,256,8,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,752.5101170898438
read,395627.2507,198060.8843,0.0409,131072.0,2048.0,0.0065,2.6471,0.0371,2.6504,256,8,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,386.3547370117187
write,781152.3867,391555.6732,0.0207,131072.0,2048.0,0.0065,1.339,0.0325,1.3423,256,9,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,762.8441276367188
read,396082.1345,198282.1013,0.041,131072.0,2048.0,0.0063,2.6442,0.0398,2.6474,256,9,16,16,2M,ior_rw_n-16_ppn-16_tx-2M_1782550332.csv,386.79895947265624
write,1951835.9229,122405.2071,0.1319,131072.0,16384.0,0.0069,1.0708,0.0552,1.0745,512,0,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1906.0897684570311
read,1777312.3551,111399.2415,0.145,131072.0,16384.0,0.0066,1.1766,0.0668,1.18,512,0,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1735.6565967773438
write,1948453.5858,122180.8012,0.1305,131072.0,16384.0,0.007,1.0728,0.0596,1.0763,512,1,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1902.7867048828125
read,1777530.726,111414.7515,0.1423,131072.0,16384.0,0.0069,1.1764,0.0612,1.1798,512,1,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1735.869849609375
write,1953594.1938,122479.7922,0.1323,131072.0,16384.0,0.0078,1.0702,0.0498,1.0735,512,2,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1907.8068298828125
read,1771900.4503,111050.4961,0.1457,131072.0,16384.0,0.0065,1.1803,0.0612,1.1836,512,2,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1730.3715334960937
write,1950421.5496,122278.1176,0.1324,131072.0,16384.0,0.0065,1.0719,0.0571,1.0752,512,3,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1904.70854453125
read,1772239.9603,111066.3803,0.145,131072.0,16384.0,0.0064,1.1801,0.0647,1.1833,512,3,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1730.7030862304687
write,1937917.0349,121497.1862,0.1328,131072.0,16384.0,0.0066,1.0788,0.0576,1.0822,512,4,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1892.4971043945313
read,1768608.5007,110846.7826,0.1426,131072.0,16384.0,0.0065,1.1825,0.0689,1.1858,512,4,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1727.1567389648437
write,1933329.2061,121214.0312,0.131,131072.0,16384.0,0.0072,1.0813,0.0645,1.0847,512,5,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1888.0168028320313
read,1769400.4423,110896.5783,0.1444,131072.0,16384.0,0.0065,1.1819,0.0691,1.1852,512,5,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1727.9301194335937
write,1947312.2178,122094.8374,0.133,131072.0,16384.0,0.0067,1.0735,0.0579,1.0769,512,6,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1901.6720876953125
read,1775039.1736,111255.0272,0.1443,131072.0,16384.0,0.0068,1.1781,0.0682,1.1815,512,6,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1733.43669296875
write,1954422.4055,122539.2253,0.1302,131072.0,16384.0,0.0068,1.0696,0.0642,1.073,512,7,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1908.6156303710939
read,1776938.9504,111370.265,0.1466,131072.0,16384.0,0.0065,1.1769,0.0572,1.1802,512,7,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1735.29194375
write,1950294.8409,122288.0455,0.131,131072.0,16384.0,0.0068,1.0718,0.067,1.0753,512,8,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1904.5848055664062
read,1774463.7321,111218.4076,0.1411,131072.0,16384.0,0.0065,1.1785,0.0658,1.1819,512,8,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1732.8747383789062
write,1941816.118,121759.3613,0.1336,131072.0,16384.0,0.0068,1.0765,0.0652,1.08,512,9,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1896.304802734375
read,1768805.1747,110864.6878,0.1449,131072.0,16384.0,0.0066,1.1823,0.0677,1.1856,512,9,16,32,16M,ior_rw_n-16_ppn-32_tx-16M_1782550451.csv,1727.3488034179688
write,1378537.2085,691022.3835,0.0232,131072.0,2048.0,0.0074,1.5174,0.0568,1.5213,512,0,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1346.2277426757812
read,758275.7755,379617.1821,0.0424,131072.0,2048.0,0.0069,2.7622,0.0622,2.7657,512,0,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,740.5036870117187
write,1387975.6476,695543.2425,0.0232,131072.0,2048.0,0.0066,1.5076,0.0448,1.5109,512,1,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1355.444968359375
read,764073.9148,382502.389,0.0425,131072.0,2048.0,0.0066,2.7414,0.0446,2.7447,512,1,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,746.165932421875
write,1152723.3551,577445.6312,0.0279,131072.0,2048.0,0.0066,1.8159,0.0623,1.8193,512,2,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1125.7064014648438
read,766369.6091,383653.2062,0.042,131072.0,2048.0,0.0066,2.7331,0.0515,2.7365,512,2,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,748.4078213867188
write,1374674.9946,688879.6162,0.0235,131072.0,2048.0,0.0066,1.5221,0.0351,1.5256,512,3,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1342.4560494140626
read,767441.7772,384193.1197,0.0419,131072.0,2048.0,0.0066,2.7293,0.06,2.7327,512,3,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,749.454860546875
write,1399980.0768,701537.37,0.0231,131072.0,2048.0,0.0064,1.4947,0.0358,1.498,512,4,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1367.16804375
read,759039.3217,379961.7736,0.0423,131072.0,2048.0,0.0063,2.7597,0.0669,2.7629,512,4,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,741.2493375976562
write,1402031.6847,702586.5729,0.023,131072.0,2048.0,0.0065,1.4925,0.0368,1.4958,512,5,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1369.1715670898438
read,760944.1024,380924.2721,0.0425,131072.0,2048.0,0.0064,2.7527,0.0507,2.756,512,5,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,743.109475
write,1402152.8178,702635.0631,0.023,131072.0,2048.0,0.0064,1.4923,0.0363,1.4957,512,6,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1369.2898611328126
read,776324.731,388640.2754,0.0415,131072.0,2048.0,0.0064,2.6981,0.061,2.7014,512,6,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,758.1296201171875
write,1431961.5488,717586.9284,0.0226,131072.0,2048.0,0.0063,1.4613,0.0362,1.4645,512,7,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1398.39995
read,874629.3377,437899.4382,0.0369,131072.0,2048.0,0.0063,2.3946,0.049,2.3978,512,7,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,854.1302125976563
write,1443501.4521,723480.7166,0.0223,131072.0,2048.0,0.0067,1.4493,0.0394,1.4528,512,8,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1409.6693868164064
read,897259.0151,449285.7944,0.0359,131072.0,2048.0,0.0067,2.3339,0.0459,2.3373,512,8,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,876.2295069335937
write,1445946.7271,724699.674,0.0223,131072.0,2048.0,0.0066,1.4469,0.0407,1.4504,512,9,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,1412.0573506835938
read,899459.5653,450369.3247,0.036,131072.0,2048.0,0.0065,2.3283,0.0362,2.3316,512,9,16,32,2M,ior_rw_n-16_ppn-32_tx-2M_1782550401.csv,878.3784817382813
write,1862703.4543,116670.9259,0.2021,131072.0,16384.0,0.0072,1.6851,0.2687,1.6888,768,0,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1819.0463420898438
read,1867242.0421,116961.674,0.2025,131072.0,16384.0,0.0075,1.681,0.1327,1.6847,768,0,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1823.4785567382812
write,2017797.1579,126419.2604,0.185,131072.0,16384.0,0.0076,1.5552,0.1081,1.559,768,1,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1970.5050370117187
read,1868755.324,117064.2521,0.2039,131072.0,16384.0,0.0077,1.6795,0.1135,1.6833,768,1,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1824.95637109375
write,1995936.9986,125045.7902,0.1856,131072.0,16384.0,0.0084,1.5723,0.1211,1.5761,768,2,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1949.1572251953125
read,1874748.0801,117422.3559,0.2024,131072.0,16384.0,0.0072,1.6744,0.119,1.6779,768,2,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1830.8086719726562
write,2018995.1762,126475.6247,0.1889,131072.0,16384.0,0.0071,1.5545,0.1097,1.5581,768,3,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1971.6749767578126
read,1868914.9407,117044.1806,0.2003,131072.0,16384.0,0.0068,1.6798,0.1284,1.6832,768,3,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1825.1122467773437
write,2022347.9087,126682.452,0.1885,131072.0,16384.0,0.0071,1.552,0.1062,1.5555,768,4,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1974.9491295898438
read,1867092.751,116938.5034,0.1984,131072.0,16384.0,0.0069,1.6813,0.1383,1.6848,768,4,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1823.3327646484374
write,2017108.0158,126380.4919,0.1837,131072.0,16384.0,0.0076,1.5557,0.1144,1.5595,768,5,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1969.8320466796874
read,1867752.19,116987.4261,0.197,131072.0,16384.0,0.0072,1.6806,0.1177,1.6842,768,5,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1823.976748046875
write,2024420.9937,126822.8456,0.1884,131072.0,16384.0,0.0072,1.5503,0.102,1.5539,768,6,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1976.9736266601562
read,1869390.5111,117084.4635,0.199,131072.0,16384.0,0.0071,1.6792,0.1167,1.6828,768,6,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1825.5766709960938
write,2017621.2801,126416.0046,0.1865,131072.0,16384.0,0.0076,1.5552,0.1182,1.5591,768,7,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1970.3332813476563
read,1868943.7963,117064.9501,0.201,131072.0,16384.0,0.0072,1.6795,0.1072,1.6832,768,7,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1825.1404260742188
write,2020172.6565,126559.2263,0.1903,131072.0,16384.0,0.0073,1.5535,0.1197,1.5572,768,8,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1972.8248598632813
read,1865090.0692,116819.4121,0.205,131072.0,16384.0,0.0072,1.683,0.1106,1.6866,768,8,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1821.377020703125
write,2023533.0282,126777.6893,0.1848,131072.0,16384.0,0.0075,1.5508,0.1034,1.5546,768,9,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1976.1064728515626
read,1867006.0939,116936.1487,0.2029,131072.0,16384.0,0.0072,1.6813,0.1184,1.6849,768,9,16,48,16M,ior_rw_n-16_ppn-48_tx-16M_1782550533.csv,1823.2481385742187
write,1858639.9831,931393.6728,0.0256,131072.0,2048.0,0.0073,1.6887,0.0714,1.6925,768,0,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1815.0781084960938
read,1286504.2735,644215.9034,0.0376,131072.0,2048.0,0.0072,2.4415,0.0514,2.4452,768,0,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1256.3518295898436
write,1875152.8016,939504.5994,0.0256,131072.0,2048.0,0.0077,1.6741,0.0532,1.6776,768,1,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1831.2039078125
read,1270849.7028,636298.3862,0.0382,131072.0,2048.0,0.0068,2.4719,0.048,2.4753,768,1,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1241.064162890625
write,1796194.8318,899992.0829,0.0264,131072.0,2048.0,0.0072,1.7476,0.0585,1.7513,768,2,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1754.0965154296875
read,1254488.6461,628125.8157,0.0389,131072.0,2048.0,0.007,2.5041,0.0495,2.5076,768,2,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1225.0865684570313
write,1881013.4745,942541.9484,0.0254,131072.0,2048.0,0.008,1.6687,0.053,1.6724,768,3,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1836.9272211914063
read,1295813.8147,648838.0951,0.0377,131072.0,2048.0,0.0069,2.4241,0.0452,2.4276,768,3,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1265.4431784179687
write,1889396.5126,946760.228,0.0257,131072.0,2048.0,0.0071,1.6613,0.0501,1.6649,768,4,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1845.1137818359375
read,1294893.7164,648386.8554,0.0376,131072.0,2048.0,0.0069,2.4258,0.0463,2.4293,768,4,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1264.544644921875
write,1860700.4634,932333.9033,0.0259,131072.0,2048.0,0.0072,1.687,0.0542,1.6906,768,5,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1817.0902962890625
read,1297440.7562,649725.8236,0.0373,131072.0,2048.0,0.0074,2.4208,0.0466,2.4246,768,5,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1267.0319884765624
write,1887782.1032,946027.2248,0.0257,131072.0,2048.0,0.0073,1.6626,0.0468,1.6664,768,6,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1843.53721015625
read,1293508.7247,647738.5814,0.0374,131072.0,2048.0,0.0073,2.4282,0.049,2.4319,768,6,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1263.1921139648437
write,1892274.2465,948168.183,0.0254,131072.0,2048.0,0.007,1.6588,0.0487,1.6624,768,7,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1847.9240688476561
read,1287531.5813,644716.7954,0.0377,131072.0,2048.0,0.0072,2.4396,0.0487,2.4432,768,7,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1257.3550598632812
write,1877175.8283,940539.3205,0.0258,131072.0,2048.0,0.0071,1.6723,0.0559,1.6758,768,8,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1833.1795198242187
read,1294419.4896,648119.6983,0.0375,131072.0,2048.0,0.0067,2.4268,0.0524,2.4302,768,8,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1264.0815328125
write,1876158.0338,939981.2927,0.0257,131072.0,2048.0,0.0069,1.6733,0.0626,1.6767,768,9,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1832.1855798828126
read,1289311.9993,645512.4168,0.0375,131072.0,2048.0,0.0065,2.4366,0.0605,2.4399,768,9,16,48,2M,ior_rw_n-16_ppn-48_tx-2M_1782550482.csv,1259.0937493164063
write,1210156.2101,76267.944,0.0508,131072.0,16384.0,0.0068,0.4296,0.0297,0.4332,128,0,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1181.7931739257813
read,1010422.6617,63555.4973,0.0616,131072.0,16384.0,0.0065,0.5156,0.0296,0.5189,128,0,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,986.7408805664063
write,1234469.375,77792.3609,0.0509,131072.0,16384.0,0.0067,0.4212,0.0182,0.4247,128,1,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1205.5364990234375
read,1014548.2819,63816.1323,0.0615,131072.0,16384.0,0.008,0.5135,0.0266,0.5168,128,1,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,990.7698065429687
write,1235901.3782,77866.0955,0.0506,131072.0,16384.0,0.0066,0.4208,0.0204,0.4242,128,2,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1206.9349396484374
read,1016020.6397,63913.5902,0.061,131072.0,16384.0,0.0066,0.5127,0.0286,0.516,128,2,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,992.2076559570313
write,1234481.849,77739.9107,0.0515,131072.0,16384.0,0.0062,0.4215,0.0233,0.4247,128,3,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1205.5486806640624
read,1021490.2059,64235.8768,0.0613,131072.0,16384.0,0.0062,0.5101,0.0249,0.5133,128,3,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,997.5490291992187
write,1232925.2345,77684.8086,0.0506,131072.0,16384.0,0.0067,0.4218,0.0204,0.4252,128,4,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1204.0285493164063
read,1011035.8781,63603.8508,0.0611,131072.0,16384.0,0.0066,0.5152,0.0304,0.5186,128,4,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,987.3397247070312
write,1242264.601,78252.1096,0.0509,131072.0,16384.0,0.0064,0.4187,0.0167,0.422,128,5,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1213.1490244140625
read,1015357.7612,63857.5838,0.0617,131072.0,16384.0,0.0063,0.5131,0.0285,0.5164,128,5,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,991.560313671875
write,1221149.065,76922.7065,0.0511,131072.0,16384.0,0.0065,0.426,0.0246,0.4293,128,6,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1192.5283837890624
read,1013755.5144,63765.8579,0.0615,131072.0,16384.0,0.0065,0.5139,0.0301,0.5172,128,6,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,989.99561953125
write,1224450.927,77139.4827,0.0512,131072.0,16384.0,0.0066,0.4248,0.0238,0.4282,128,7,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1195.7528583984374
read,1018949.4115,64100.4018,0.0614,131072.0,16384.0,0.0065,0.5112,0.028,0.5145,128,7,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,995.0677846679688
write,1231972.0283,77564.0249,0.0509,131072.0,16384.0,0.006,0.4225,0.0217,0.4256,128,8,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1203.0976838867186
read,1022396.8353,64279.7094,0.0612,131072.0,16384.0,0.0059,0.5098,0.0279,0.5128,128,8,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,998.4344094726563
write,1233464.6559,77675.9837,0.0508,131072.0,16384.0,0.0062,0.4219,0.0238,0.4251,128,9,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1204.5553280273436
read,1027065.0283,64589.7381,0.0611,131072.0,16384.0,0.0061,0.5073,0.0282,0.5105,128,9,16,8,16M,ior_rw_n-16_ppn-8_tx-16M_1782550316.csv,1002.9931916992188
